,msa,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,msa_name,msa_state,code
97,"McAllen-Edinburg-Mission, TX",4.6,5.1,7,5.4,4.6,4.4,3.7,2.7,3.1,3.8,2.6,McAllen-Edinburg-Mission,TX,32580
98,"Medford, OR",1.5,1.5,1,1,1.5,4.9,1.9,1.9,1.4,2.3,2.3,Medford,OR,32780
99,"Memphis, TN-MS-AR",13.7,11.9,12.6,12.1,8.6,10.6,11.5,10.3,12.8,11.5,18.5,Memphis,"TN,MS,AR",32820
100,"Merced, CA",9,6.8,8.4,10.4,10.5,5.4,8.8,10.2,10.9,10.1,2.2,Merced,CA,32900
102,"Midland, TX",4,3.2,3.1,2.3,2.2,4.3,3.4,3.9,4.9,5.4,1.7,Midland,TX,33260
103,"Milwaukee-Waukesha-West Allis, WI",7.4,7.3,4.9,5.2,6.4,5.9,6.9,7,6.3,9.8,9.9,Milwaukee-Waukesha-West Allis,WI,33340
104,"Minneapolis-St. Paul-Bloomington, MN-WI",3.5,2.8,2.7,1.7,2.4,1.8,2.2,2.5,1.8,2.7,2.2,Minneapolis-St. Paul-Bloomington,"MN,WI",33460
105,"Mobile, AL",11.6,15.3,16,8.8,7.4,11.3,11.1,9.7,9.4,10.6,14.7,Mobile,AL,33660
106,"Modesto, CA",5.7,5.2,6,8.9,5.6,6.5,7.3,6.3,6,7.3,6.3,Modesto,CA,33700
107,"Mount Vernon-Anacortes, WA",1.7,1.7,7.6,2.5,0,2.5,1.7,3.4,2.5,2.5,4.9,Mount Vernon-Anacortes,WA,34580
108,"Napa, CA",1.5,4.5,0.8,0.7,1.5,2.2,1.4,1.4,3.5,2.1,0.7,Napa,CA,34900
109,"Ocala, FL",4.9,4.3,6.7,3.6,2.7,4.2,6.2,5,5.6,2.9,5.2,Ocala,FL,36100
110,"Ocean City, NJ",1,1,0,1.1,2.1,1,2.1,0,0,1.1,0,Ocean City,NJ,36140
111,"Odessa, TX",2.3,6.2,7.6,5.2,5.2,7.9,3.5,2,11.1,7.6,4.3,Odessa,TX,36220
112,"Ogden-Clearfield, UT",1.8,1,1.7,1.3,1.5,1.4,0.7,1.3,1.7,2.3,1.4,Ogden-Clearfield,UT,36260
113,"Oklahoma City, OK",7,6.5,6.3,6.8,5.7,6.2,8,5.9,5.2,6.8,6.7,Oklahoma City,OK,36420
114,"Omaha-Council Bluffs, NE-IA",4.8,5.7,6,3.9,4.5,5.8,4.9,5.3,4.1,5.5,3.9,Omaha-Council Bluffs,"NE,IA",36540
115,"Oxnard-Thousand Oaks-Ventura, CA",3.6,2.1,3.9,3.6,2.2,1.8,2.5,4,2.4,2.8,3.6,Oxnard-Thousand Oaks-Ventura,CA,37100
116,"Palm Bay-Melbourne-Titusville, FL",4.1,5.9,4.1,4.8,3.7,2.7,5.4,3.6,3.4,4.3,3.5,Palm Bay-Melbourne-Titusville,FL,37340
117,"Pensacola-Ferry Pass-Brent, FL",3.1,5.4,5.3,4,7.6,4,4.8,6.2,7,5.8,5.2,Pensacola-Ferry Pass-Brent,FL,37860
118,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",9.5,9.5,9.1,7.3,7.8,8.1,8.6,7.1,7,7.4,7.9,Philadelphia-Camden-Wilmington,"PA,NJ,DE,MD",37980
119,"Pittsburgh, PA",4.4,4.3,5.2,4.7,4.7,3.8,4.2,4.1,5.4,4.7,5.1,Pittsburgh,PA,38300
120,"Pittsfield, MA",1.5,0.8,1.5,1.5,0.8,3,0,0.8,0,3.1,2.4,Pittsfield,MA,38340
121,"Port St. Lucie, FL",4.9,3.7,3.2,4.1,4.8,5.1,2.5,3.4,6.1,3.1,4.1,Port St. Lucie,FL,38940
122,"Punta Gorda, FL",1.2,6.5,2,2,0.6,1.2,0.6,0.6,1.2,0.6,2.8,Punta Gorda,FL,39460
123,"Racine, WI",4.1,3.5,5.1,2.5,4,3.6,3.1,1,2.1,2.1,4.1,Racine,WI,39540
124,"Rapid City, SD",0,3.3,3.3,1.6,3.2,3.1,2.9,1.4,3.5,6.2,3.4,Rapid City,SD,39660
125,"Reading, PA",3,3.5,3.9,3.9,3.2,4.6,4.6,2.7,2.9,3.6,4.1,Reading,PA,39740
126,"Redding, CA",4.4,6.1,2.2,1.7,1.6,3.3,3.9,5.6,4.4,2.8,6.7,Redding,CA,39820
127,"Riverside-San Bernardino-Ontario, CA",6.9,6.4,5,5.1,4.5,4.3,4.1,5,4.6,4.4,5.1,Riverside-San Bernardino-Ontario,CA,40140
128,"Roanoke, VA",4.7,2.7,6.1,4,6.3,3.2,3.5,5.1,2.2,6.4,5.1,Roanoke,VA,40220
129,"Rochester, MN",1.1,1.1,2.7,0.5,0.5,0.5,1.4,0,1.4,0.5,0,Rochester,MN,40340
130,"Rochester, NY",5.4,5.5,4.8,3.6,4.9,4.1,4,4.8,2.9,3.8,4.7,Rochester,NY,40380
131,"Salem, OR",3.7,1,4.1,1.8,1.3,3,3.3,3.5,2,1.7,4.6,Salem,OR,41420
132,"Salinas, CA",3.6,7.1,8.9,12.5,10.7,8.1,10.6,10.9,7.8,13.8,12.9,Salinas,CA,41500
133,"Salt Lake City, UT",2.2,4.1,1.9,1.9,2.9,2.1,2.2,1.8,2.2,2.6,3.9,Salt Lake City,UT,41620
134,"San Jose-Sunnyvale-Santa Clara, CA",2.3,2.9,2.9,2.5,1.4,3.3,3,3,2.3,2.3,2.9,San Jose-Sunnyvale-Santa Clara,CA,41940
135,"Santa Cruz-Watsonville, CA",6.4,2.4,3.2,4,5.5,3.8,3.7,4.1,3.3,2.2,1.8,Santa Cruz-Watsonville,CA,42100
136,"Savannah, GA",9.9,8.6,8.1,9.2,6.5,8.5,7,9.8,9.4,15,13.8,Savannah,GA,42340
137,"Sebastian-Vero Beach, FL",5.4,1.5,3,5.2,0,3.6,0.7,2.8,4.9,1.4,2.7,Sebastian-Vero Beach,FL,42680
138,"Sherman-Denison, TX",0.8,3.3,2.5,3.3,9.1,4.1,2.4,5.7,2.4,6.4,4,Sherman-Denison,TX,43300
139,"Sioux City, IA-NE-SD",0.7,1.4,4.2,2.8,0,1.4,2.4,2.4,3,1.8,1.8,Sioux City,"IA,NE,SD",43580
140,"Sioux Falls, SD",3.3,1.4,3,0.4,1.2,2.2,0.9,1.2,1.6,1.2,3.9,Sioux Falls,SD,43620
141,"South Bend-Mishawaka, IN-MI",5.3,4.1,5.7,6,2.5,5,7.5,3.4,6,7.2,5,South Bend-Mishawaka,"IN,MI",43780
142,"Springfield, MA",3,4.5,2.6,3.4,3.7,3.6,2.1,4.5,2.5,3.5,2.9,Springfield,MA,44140
143,"Springfield, MO",1.7,2.4,2.6,1.8,3,2.1,5,3.1,4.9,3.3,2.6,Springfield,MO,44180
144,"Springfield, OH",4.2,3.5,7.1,2.9,2.9,2.2,3.6,4.4,5.2,8.8,3.7,Springfield,OH,44220
145,"St. Joseph, MO-KS",1.6,1.6,2.4,3.2,5.5,3.1,1.6,1.6,1.6,9.4,7.9,St. Joseph,"MO,KS",41140
146,"St. Louis, MO-IL",6.6,7.7,8.3,7.4,7.8,7.6,7.3,7.2,8.8,10.5,11.1,St. Louis,"MO,IL",41180
147,"State College, PA",2.1,0.7,0,1.4,0,0,0.6,0,0,1.3,1.2,State College,PA,44300
148,"Sumter, SC",9.3,8.5,12.5,11.5,5.7,15.6,11.1,6.4,6.4,6.5,3.7,Sumter,SC,44940
149,"Syracuse, NY",2.8,4,4.8,3.3,3.4,2.3,2.3,4.2,3.5,4.1,5.3,Syracuse,NY,45060
150,"Tallahassee, FL",3.2,2.4,4.3,3.6,5.2,4.8,5.9,4.5,4.8,6.6,4.5,Tallahassee,FL,45220
151,"Tampa-St. Petersburg-Clearwater, FL",4.9,5.3,5.6,3.6,4.3,4.7,3.9,4.3,5.5,4,3.9,Tampa-St. Petersburg-Clearwater,FL,45300
152,"Toledo, OH",5.6,2.1,3.1,5.4,4,6.1,7.1,4.9,4.6,4.4,7.1,Toledo,OH,45780
153,"Topeka, KS",5.2,5.2,4.4,8.7,6,6.4,7.6,5.5,3.8,6,9,Topeka,KS,45820
154,"Tulsa, OK",7.5,7.8,8,8.6,6.4,6.8,5.7,6.7,6.1,8.1,9.2,Tulsa,OK,46140
155,"Tuscaloosa, AL",11.6,10.5,8.2,6.7,5.1,4.1,5.6,6.8,5.1,4.2,7.5,Tuscaloosa,AL,46220
156,"Utica-Rome, NY",2.3,3.7,2.7,2.7,2.4,2.7,1.3,5.7,3,2.7,1.4,Utica-Rome,NY,46540
157,"Vallejo-Fairfield, CA",3.4,7.5,5.9,4.9,8.1,7.2,6.7,7.3,6.3,7.1,5.5,Vallejo-Fairfield,CA,46700
158,"Visalia-Porterville, CA",11.8,9,10.1,7.2,8,8.9,8.2,9.2,8.3,9.7,7.2,Visalia-Porterville,CA,47300
159,"Waco, TX",4.3,3.9,6.5,5.6,3.8,5,3.8,2.7,3.8,8.8,2.7,Waco,TX,47380
160,"Warner Robins, GA",2.3,2.3,6,3,6,3.5,4.3,4.3,4.2,2.6,4.7,Warner Robins,GA,47580
